Date,Open,High,Low,Close
16-12-21,48900.46484,49425.57422,47529.87891,47665.42578
17-12-21,47653.73047,48004.89453,45618.21484,46202.14453
18-12-21,46219.25391,47313.82813,45598.44141,46848.77734
19-12-21,46853.86719,48089.66406,46502.95313,46707.01563
20-12-21,46707.0625,47401.71875,45579.80859,46880.27734
21-12-21,46886.07813,49300.91797,46698.77344,48936.61328
22-12-21,48937.09766,49544.79688,48450.94141,48628.51172
23-12-21,48626.34375,51332.33984,48065.83594,50784.53906
24-12-21,50806.05078,51814.02734,50514.49609,50822.19531
25-12-21,50854.91797,51176.59766,50236.70703,50429.85938
26-12-21,50428.69141,51196.37891,49623.10547,50809.51563
27-12-21,50802.60938,51956.32813,50499.46875,50640.41797
28-12-21,50679.85938,50679.85938,47414.21094,47588.85547
29-12-21,47623.87109,48119.74219,46201.49609,46444.71094
30-12-21,46490.60547,47879.96484,46060.3125,47178.125
31-12-21,47169.37109,48472.52734,45819.95313,46306.44531
01-01-22,46311.74609,47827.3125,46288.48438,47686.8125
02-01-22,47680.92578,47881.40625,46856.9375,47345.21875
03-01-22,47343.54297,47510.72656,45835.96484,46458.11719
04-01-22,46458.85156,47406.54688,45752.46484,45897.57422
05-01-22,45899.35938,46929.04688,42798.22266,43569.00391
06-01-22,43565.51172,43748.71875,42645.53906,43160.92969
07-01-22,43153.57031,43153.57031,41077.44531,41557.90234
08-01-22,41561.46484,42228.94141,40672.27734,41733.94141
09-01-22,41734.72656,42663.94922,41338.16016,41911.60156
10-01-22,41910.23047,42199.48438,39796.57031,41821.26172
11-01-22,41819.50781,43001.15625,41407.75391,42735.85547
12-01-22,42742.17969,44135.36719,42528.98828,43949.10156
13-01-22,43946.74219,44278.42188,42447.04297,42591.57031
14-01-22,42598.87109,43346.6875,41982.61719,43099.69922
15-01-22,43101.89844,43724.67188,42669.03516,43177.39844
16-01-22,43172.03906,43436.80859,42691.02344,43113.87891
17-01-22,43118.12109,43179.39063,41680.32031,42250.55078
18-01-22,42250.07422,42534.40234,41392.21484,42375.63281
